Nonterminal,main,id,ini_llave,fin_llave,function,return,ini_parentesis,fin_parentesis,coma,punto_coma,if,then,elseif,else,switch,dos_puntos,default_switch,digito,bool,cadena,caracter,double,while,for,until,salto,int,float,char,string,bool_type,array,define,as,ini_corchete,fin_corchete,scan,print,igual,EXPRESV1,or,and,igual_doble,no_igual,menor,menor_igual,mayor,mayor_igual,plus,minus,times,divide,mod,potencia,negacion,$
IF,,,,,,,,,,,IFSOLO IFX ELFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFX,,ep,,ep,,,,,,,ep,,ELSEIFS IFX,ep,ep,,ep,ep,ep,ep,ep,ep,ep,ep,,,,,,,,ep,ep,,,,ep,ep,,ep,,,,,,,,,,ep,,,,,ep,
ELFX,,ep,,ep,,,,,,,ep,,,ELSE,ep,,ep,ep,ep,ep,ep,ep,ep,ep,,,,,,,,ep,ep,,,,ep,ep,,ep,,,,,,,,,,ep,,,,,ep,
SEGUN,,,,,,,,,,,,,,,switch id ini_llave CASES fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASES,,,,,,,,,,,,,,,,,,CASE CX DEFAULT,CASE CX DEFAULT,CASE CX DEFAULT,CASE CX DEFAULT,CASE CX DEFAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,,,,ep,,,,,,,,,,,,,ep,CASE CX,CASE CX,CASE CX,CASE CX,CASE CX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE,,,,,,,,,,,,,,,,,,VALOR dos_puntos SENTENCIA,VALOR dos_puntos SENTENCIA,VALOR dos_puntos SENTENCIA,VALOR dos_puntos SENTENCIA,VALOR dos_puntos SENTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFAULT,,,,ep,,,,,,,,,,,,,default_switch dos_puntos SENTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR,,,,,,,,,,,,,,,,,,digito,bool,cadena,caracter,double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIENTRAS,,,,,,,,,,,,,,,,,,,,,,,while EXPRES1 ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA,,,,,,,,,,,,,,,,,,,,,,,,for ASIGNACION until digito salto ini_llave SENTENCIAS fin_llave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIPO,,,,,,,,,,,,,,,,,,,,,,,,,,,int,float,char,string,bool_type,array,,,,,,,,,,,,,,,,,,,,,,,,
DPARAMS,,id DPARAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPARAM,,,,,,,,,coma id DPARAM,,,,,,,,,,,,,,,,,,,,,,,,,ep,,,,,,,,,,,,,,,,,,,,,,
DEFINIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,define DPARAMS as TIPO punto_coma,,,,,,,,,,,,,,,,,,,,,,,
DEFARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,array id ini_corchete digito fin_corchete punto_coma,,,,,,,,,,,,,,,,,,,,,,,,
LISTA_PARAMS,,EXPRES1 LPX,,,,,,,,,,,,,,,,EXPRES1 LPX,EXPRES1 LPX,EXPRES1 LPX,EXPRES1 LPX,EXPRES1 LPX,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES1 LPX,,,,,EXPRES1 LPX,
LPX,,,,,,,,,LISTA_PARAM,ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LISTA_PARAM,,,,,,,,,coma EXPRES1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scan id punto_coma,,,,,,,,,,,,,,,,,,,
IMPRIMIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,print LISTA_PARAMS punto_coma,,,,,,,,,,,,,,,,,,
ASIGNACION,,id igual VALOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRES,,EXPRES1,,,,,,,,,,,,,,,,EXPRES1,EXPRES1,EXPRES1,EXPRES1,EXPRES1,,,,,,,,,,,,,,,,,,EXPRESV1,,,,,,,,,,EXPRES1,,,,,EXPRES1,
EXPRES1,,EXPRES2 EXP1,,,,,,,,,,,,,,,,EXPRES2 EXP1,EXPRES2 EXP1,EXPRES2 EXP1,EXPRES2 EXP1,EXPRES2 EXP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES2 EXP1,,,,,EXPRES2 EXP1,
EXP1,,,ep,,,,,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,,ep,,,,,or EXPRES1,,,,,,,,,,,,,,,
EXPRES2,,EXPRES3 EXP2,,,,,,,,,,,,,,,,EXPRES3 EXP2,EXPRES3 EXP2,EXPRES3 EXP2,EXPRES3 EXP2,EXPRES3 EXP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES3 EXP2,,,,,EXPRES3 EXP2,
EXP2,,,ep,,,,,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,,ep,,,,,ep,and EXPRES2,,,,,,,,,,,,,,
EXPRES3,,EXPRES4 EXP3,,,,,,,,,,,,,,,,EXPRES4 EXP3,EXPRES4 EXP3,EXPRES4 EXP3,EXPRES4 EXP3,EXPRES4 EXP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES4 EXP3,,,,,EXPRES4 EXP3,
EXP3,,,ep,,,,,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,,ep,,,EX3 EXPRES4,,ep,ep,EX3 EXPRES4,EX3 EXPRES5,EX3 EXPRES6,EX3 EXPRES7,EX3 EXPRES8,EX3 EXPRES9,,,,,,,,
EX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,igual,,,,igual_doble,no_igual,menor,menor_igual,mayor,mayor_igual,,,,,,,,
EXPRES4,,EXPRES5 EXP4,,,,,,,,,,,,,,,,EXPRES5 EXP4,EXPRES5 EXP4,EXPRES5 EXP4,EXPRES5 EXP4,EXPRES5 EXP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES5 EXP4,,,,,EXPRES5 EXP4,
EXP4,,,ep,,,,,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,,ep,,,ep,,ep,ep,ep,ep,ep,ep,ep,ep,EX4 EXPRES4,EX4 EXPRES4,,,,,,
EX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plus,minus,,,,,,
EXPRES5,,EXPRES6 EXP5,,,,,,,,,,,,,,,,EXPRES6 EXP5,EXPRES6 EXP5,EXPRES6 EXP5,EXPRES6 EXP5,EXPRES6 EXP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES6 EXP5,,,,,EXPRES6 EXP5,
EXP5,,,ep,,,,,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,,ep,,,ep,,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,EX5 EXPRES5,EX5 EXPRES5,,,,
EX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,times,divide,,,,
EXPRES6,,EXPRES7 EXP6,,,,,,,,,,,,,,,,EXPRES7 EXP6,EXPRES7 EXP6,EXPRES7 EXP6,EXPRES7 EXP6,EXPRES7 EXP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPRES7 EXP6,,,,,EXPRES7 EXP6,
EXP6,,,ep,,,,,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,,ep,,,ep,,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,EX6 EXPRES6,EX6 EXPRES6,,
EX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mod,potencia,,
EXPRES7,,EXPRES8,,,,,,,,,,,,,,,,EXPRES8,EXPRES8,EXPRES8,EXPRES8,EXPRES8,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXP7 EXPRES7,,,,,EXP7 EXPRES7,
EXP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minus,,,,,negacion,
EXPRES8,,id EXP8,,,,,,,,,,,,,,,,VALOR,VALOR,VALOR,VALOR,VALOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP8,,,ep,,,,ini_parentesis EXPRES fin_parentesis,ep,ep,ep,,ep,,,,,,,,,,,,,,,,,,,,,,,ini_corchete EXPRES fin_corchete,ep,,,ep,,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,ep,,
